Time,Longitude,Latitude,UTM-x,UTM-y
2018-04-04 13:21:16.591489,10.2234885741106,47.819265578495695,591584.3884645943,5296937.325213322
2018-04-04 13:21:25.992900,10.2235184003482,47.8192615128745,591586.6282297018,5296936.908695163
2018-04-04 13:21:27.092948,10.223518574161698,47.8192574669606,591586.6483570107,5296936.459238722
2018-04-04 13:21:28.193099,10.2235221068512,47.81925513727239,591586.9168909403,5296936.204502625
2018-04-04 13:21:34.149394,10.223538277465,47.81924538902668,591588.1444738366,5296935.140241217
2018-04-04 13:21:35.369261,10.2235309591617,47.81924060329449,591587.605087281,5296934.599685501
2018-04-04 13:21:37.749954,10.2235387714961,47.81923239529061,591588.2043101151,5296933.696704332
2018-04-04 13:21:38.910141,10.2235404832237,47.8192301701865,591588.3363538628,5296933.451434448
2018-04-04 13:21:53.275988,10.2235692428632,47.81921866931911,591590.5093605287,5296932.207301845
2018-04-04 13:21:55.511887,10.2235727505092,47.8192116694025,591590.784235395,5296931.433487669
2018-04-04 13:22:01.432846,10.2235937154444,47.8192151308114,591592.3474577791,5296931.843026513
2018-04-04 13:22:02.665075,10.2236011800335,47.8192181305255,591592.9009360374,5296932.185258164
2018-04-04 13:22:03.849166,10.223606544157,47.81922083600009,591593.2977034014,5296932.492299539
2018-04-04 13:22:07.569332,10.223614111837303,47.8192300349922,591593.8479931072,5296933.523640387
2018-04-04 13:22:08.693585,10.223623230098,47.8192334289715,591594.5245615965,5296933.911650026
2018-04-04 13:22:11.073777,10.2236315115023,47.8192316350246,591595.1476141777,5296933.722082783
2018-04-04 13:22:15.930559,10.223655524666698,47.8192363102031,591596.9368727719,5296934.270132631
2018-04-04 13:22:17.210392,10.2236563270416,47.81923870697259,591596.9927174567,5296934.537459958
2018-04-04 13:22:22.330599,10.2236745999348,47.8192318799749,591598.3725277189,5296933.800358659
2018-04-04 13:22:28.273041,10.2236466111837,47.81919042501472,591596.3503817407,5296929.159897814
2018-04-04 13:22:29.771589,10.2236878548202,47.81921205680271,591599.3995831119,5296931.612918894
2018-04-04 13:22:30.955602,10.2236837603983,47.81920750585,591599.1011049565,5296931.102275304
2018-04-04 13:22:37.044060,10.223681789278906,47.8191877156077,591598.9883737711,5296928.9004548425
2018-04-04 13:22:38.156134,10.223677722091898,47.8191818631754,591598.6942236412,5296928.245197273
2018-04-04 13:22:41.756284,10.2236692814899,47.81918818334712,591598.0512912495,5296928.937619561
2018-04-04 13:22:43.036342,10.2236698255531,47.819191339630784,591598.086464117,5296929.289053147
2018-04-04 13:22:44.304452,10.2236730020392,47.81919149133161,591598.323970336,5296929.309676785
2018-04-04 13:22:45.560617,10.2236803125735,47.8191952931826,591598.8645057443,5296929.740875865
2018-04-04 13:22:46.792756,10.223682371345,47.81919435452301,591599.0202645735,5296929.638992695
2018-04-04 13:22:47.964808,10.223682595954,47.8191875039365,591599.0491291084,5296928.877885522
2018-04-04 13:22:52.689253,10.2236949390554,47.8191754582393,591599.9942523735,5296927.553753102
2018-04-04 13:22:57.377478,10.2237010442569,47.81915740345459,591600.4830146723,5296925.554380515
2018-04-04 13:22:58.501616,10.22370821829,47.819155998228695,591601.0224931377,5296925.406704205
2018-04-04 13:23:01.993882,10.2237255190785,47.819155657194685,591602.3181293873,5296925.389301162
2018-04-04 13:23:04.445931,10.2237301390844,47.819146438629495,591602.6801741463,5296924.370225248
2018-04-04 13:23:06.934391,10.2237307710266,47.81914381272112,591602.7320973729,5296924.07913092
2018-04-04 13:23:14.026830,10.223702412831402,47.8191573491698,591600.5855536871,5296925.549968893
2018-04-04 13:23:17.339110,10.2236856894981,47.81916214275217,591599.3253094348,5296926.06291217
2018-04-04 13:23:18.463186,10.223688864866304,47.8191696524892,591599.5497877068,5296926.901305723
2018-04-04 13:23:19.611327,10.2236868042456,47.8191704869164,591599.3940737431,5296926.991602316
2018-04-04 13:23:24.407602,10.2237097506271,47.81917675372161,591601.1006808871,5296927.715282628
2018-04-04 13:23:25.663691,10.223713673705,47.819174187602506,591601.398853994,5296927.434732857
2018-04-04 13:23:28.067995,10.2237208207568,47.8191698149344,591601.9415331677,5296926.957223522
2018-04-04 13:23:29.324108,10.2237223693687,47.8191665435593,591602.0632084289,5296926.595478251
2018-04-04 13:23:35.568616,10.223732641257405,47.8191494925474,591602.8620995793,5296924.712602107
2018-04-04 13:23:40.245407,10.223754533113498,47.81915737362849,591604.4869313557,5296925.614444319
2018-04-04 13:23:41.465585,10.2237549803256,47.8191588971889,591604.5177266273,5296925.7843025355
2018-04-04 13:23:42.613783,10.2237553987191,47.81916229641227,591604.543064823,5296926.162587542
2018-04-04 13:23:43.809955,10.2237588453893,47.81916590770289,591604.7947090369,5296926.568029953
2018-04-04 13:23:44.909987,10.2237612155843,47.819172453841,591604.9606112255,5296927.298375399
2018-04-04 13:23:47.146792,10.2237772704705,47.8191698503524,591606.1669665687,5296927.0280480115
2018-04-04 13:23:51.774489,10.2237840534459,47.81918136140861,591606.6544484226,5296928.315422763
2018-04-04 13:23:57.586908,10.2238045121505,47.81918915428792,591608.1721564777,5296929.20576509
2018-04-04 13:23:59.967272,10.223813662805098,47.8191929422969,591608.8504561346,5296929.637607199
2018-04-04 13:24:02.311482,10.223820771767,47.8191967766721,591609.3758450085,5296930.072183149
2018-04-04 13:24:05.611865,10.223827662752802,47.81919959251929,591609.8867094141,5296930.393301778
2018-04-04 13:24:06.723922,10.2238322325313,47.8192031396321,591610.2225352498,5296930.792942596
2018-04-04 13:24:08.996173,10.2238377149001,47.819206455562814,591610.6270789169,5296931.167971305
